This is the Log File of datestart Time 2022-04-11 08:18:41
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000565 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000561 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000563 (s)
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000564 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000569 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000569 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000570 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000566 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000569 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
Elapsed time for execution without CUDA graph:0.000569 (s)
Elapsed time for execution without CUDA graph:0.000569 (s)
Elapsed time for execution without CUDA graph:0.000568 (s)
Elapsed time for execution without CUDA graph:0.000567 (s)
