index,time,kernel,dimension,blocksize,operation
117,7.44329,11664,34560,320,launch
118,7.43807,11664,34560,320,launch
119,7.443,11664,34560,320,launch
120,7.42985,11664,34560,320,launch
121,7.43859,11664,34560,320,launch
122,7.44156,11664,34560,320,launch
123,7.44007,11664,34560,320,launch
124,7.44273,11664,34560,320,launch
125,7.44177,11664,34560,320,launch
126,7.44162,11664,34560,320,launch
127,7.44256,11664,34560,320,launch
128,7.43851,11664,34560,320,launch
129,7.44349,11664,34560,320,launch
130,7.44017,11664,34560,320,launch
131,7.43857,11664,34560,320,launch
132,7.4425,11664,34560,320,launch
133,7.44258,11664,34560,320,launch
134,7.44231,11664,34560,320,launch
135,7.44168,11664,34560,320,launch
136,7.44161,11664,34560,320,launch
137,7.43842,11664,34560,320,launch
138,7.44301,11664,34560,320,launch
139,7.43997,11664,34560,320,launch
140,7.42968,11664,34560,320,launch
141,7.43686,11664,34560,320,launch
142,7.44137,11664,34560,320,launch
143,7.43959,11664,34560,320,launch
144,7.4411,11664,34560,320,launch
145,7.43932,11664,34560,320,launch
146,7.44019,11664,34560,320,launch
147,7.43945,11664,34560,320,launch
148,7.43828,11664,34560,320,launch
149,7.44031,11664,34560,320,launch
150,7.44014,11664,34560,320,launch
151,7.43821,11664,34560,320,launch
152,7.44159,11664,34560,320,launch
153,7.4419,11664,34560,320,launch
154,7.44101,11664,34560,320,launch
155,7.4375,11664,34560,320,launch
156,7.43965,11664,34560,320,launch
157,7.43859,11664,34560,320,launch
158,7.44017,11664,34560,320,launch
159,7.4373,11664,34560,320,launch
160,7.4314,11664,34560,320,launch
161,7.43644,11664,34560,320,launch
162,7.44043,11664,34560,320,launch
163,7.43945,11664,34560,320,launch
164,7.43835,11664,34560,320,launch
165,7.43957,11664,34560,320,launch
166,7.43786,11664,34560,320,launch
167,7.44284,11664,34560,320,launch
168,7.43959,11664,34560,320,launch
169,7.4416,11664,34560,320,launch
170,7.44,11664,34560,320,launch
171,7.44124,11664,34560,320,launch
172,7.44197,11664,34560,320,launch
173,7.44138,11664,34560,320,launch
174,7.44156,11664,34560,320,launch
175,7.44197,11664,34560,320,launch
176,7.43834,11664,34560,320,launch
177,7.44176,11664,34560,320,launch
178,7.44304,11664,34560,320,launch
179,7.44157,11664,34560,320,launch
180,7.43003,11664,34560,320,launch
181,7.43751,11664,34560,320,launch
182,7.44191,11664,34560,320,launch
183,7.44192,11664,34560,320,launch
184,7.44121,11664,34560,320,launch
185,7.44143,11664,34560,320,launch
186,7.44123,11664,34560,320,launch
187,7.44365,11664,34560,320,launch
188,7.44175,11664,34560,320,launch
189,7.44251,11664,34560,320,launch
190,7.44268,11664,34560,320,launch
191,7.44253,11664,34560,320,launch
192,7.43984,11664,34560,320,launch
193,7.44247,11664,34560,320,launch
194,7.44092,11664,34560,320,launch
195,7.44058,11664,34560,320,launch
196,7.44458,11664,34560,320,launch
197,7.4415,11664,34560,320,launch
198,7.44359,11664,34560,320,launch
199,7.44183,11664,34560,320,launch
index,time,kernel,dimension,blocksize,operation
0,0.0210022,2916,34560,640,capture
1,0.0230938,2916,34560,640,capture
2,0.022969,2916,34560,640,capture
3,0.0229597,2916,34560,640,capture
4,0.0229862,2916,34560,640,capture
5,0.0229417,2916,34560,640,capture
6,0.0229043,2916,34560,640,capture
7,0.0229303,2916,34560,640,capture
8,0.0230601,2916,34560,640,capture
9,0.0231864,2916,34560,640,capture
index,time,kernel,dimension,blocksize,operation
0,0.0182293,2916,34560,640,instantiation
1,0.0195101,2916,34560,640,instantiation
2,0.0195321,2916,34560,640,instantiation
3,0.0195978,2916,34560,640,instantiation
4,0.0195583,2916,34560,640,instantiation
5,0.0198195,2916,34560,640,instantiation
6,0.0195428,2916,34560,640,instantiation
7,0.0187191,2916,34560,640,instantiation
8,0.0203797,2916,34560,640,instantiation
9,0.0199829,2916,34560,640,instantiation
index,time,kernel,dimension,blocksize,operation
0,5.53022,2916,34560,640,launch
1,5.57073,2916,34560,640,launch
2,5.5868,2916,34560,640,launch
3,5.60483,2916,34560,640,launch
4,5.62044,2916,34560,640,launch
5,5.63286,2916,34560,640,launch
6,5.65002,2916,34560,640,launch
7,5.6571,2916,34560,640,launch
8,5.66562,2916,34560,640,launch
9,5.67607,2916,34560,640,launch
10,5.6834,2916,34560,640,launch
11,5.68927,2916,34560,640,launch
12,5.69458,2916,34560,640,launch
13,5.70028,2916,34560,640,launch
14,5.70317,2916,34560,640,launch
15,5.71146,2916,34560,640,launch
16,5.71096,2916,34560,640,launch
17,5.70802,2916,34560,640,launch
18,5.71112,2916,34560,640,launch
19,5.71279,2916,34560,640,launch
20,5.70088,2916,34560,640,launch
21,5.71122,2916,34560,640,launch
22,5.70892,2916,34560,640,launch
23,5.70859,2916,34560,640,launch
24,5.70714,2916,34560,640,launch
25,5.70402,2916,34560,640,launch
26,5.69983,2916,34560,640,launch
27,5.70612,2916,34560,640,launch
28,5.70341,2916,34560,640,launch
29,5.69889,2916,34560,640,launch
30,5.69904,2916,34560,640,launch
31,5.6997,2916,34560,640,launch
32,5.69846,2916,34560,640,launch
33,5.6991,2916,34560,640,launch
34,5.69308,2916,34560,640,launch
35,5.6946,2916,34560,640,launch
36,5.69094,2916,34560,640,launch
37,5.69336,2916,34560,640,launch
38,5.6904,2916,34560,640,launch
39,5.68932,2916,34560,640,launch
40,5.67747,2916,34560,640,launch
41,5.69041,2916,34560,640,launch
42,5.68785,2916,34560,640,launch
43,5.68458,2916,34560,640,launch
44,5.68455,2916,34560,640,launch
45,5.68792,2916,34560,640,launch
46,5.68223,2916,34560,640,launch
