index,time,kernel,dimension,blocksize
86,0.143239,1225,8960,256
86,0.173268,4900,8960,128
86,0.370668,19600,8960,64
87,0.0900802,49,8960,1280
87,0.101488,196,8960,640
87,0.13177,784,8960,320
87,0.143227,1225,8960,256
87,0.17323,4900,8960,128
87,0.370647,19600,8960,64
88,0.0901039,49,8960,1280
88,0.102062,196,8960,640
88,0.132847,784,8960,320
88,0.143274,1225,8960,256
88,0.173217,4900,8960,128
88,0.370695,19600,8960,64
89,0.0903711,49,8960,1280
89,0.100949,196,8960,640
89,0.132545,784,8960,320
89,0.143219,1225,8960,256
89,0.173234,4900,8960,128
89,0.370674,19600,8960,64
90,0.0913194,49,8960,1280
90,0.101296,196,8960,640
90,0.132097,784,8960,320
90,0.143237,1225,8960,256
90,0.173242,4900,8960,128
90,0.370701,19600,8960,64
91,0.0903542,49,8960,1280
91,0.101144,196,8960,640
91,0.131208,784,8960,320
91,0.143227,1225,8960,256
91,0.173229,4900,8960,128
91,0.370685,19600,8960,64
92,0.0900968,49,8960,1280
92,0.100357,196,8960,640
92,0.131219,784,8960,320
92,0.143261,1225,8960,256
92,0.173237,4900,8960,128
92,0.37065,19600,8960,64
93,0.0910016,49,8960,1280
93,0.100364,196,8960,640
93,0.131234,784,8960,320
93,0.143255,1225,8960,256
93,0.173211,4900,8960,128
93,0.370716,19600,8960,64
94,0.0908966,49,8960,1280
94,0.101062,196,8960,640
94,0.131993,784,8960,320
94,0.143247,1225,8960,256
94,0.173242,4900,8960,128
94,0.370683,19600,8960,64
95,0.0893244,49,8960,1280
95,0.101669,196,8960,640
95,0.132916,784,8960,320
95,0.143257,1225,8960,256
95,0.173268,4900,8960,128
95,0.370699,19600,8960,64
96,0.0906228,49,8960,1280
96,0.100781,196,8960,640
96,0.132774,784,8960,320
96,0.143215,1225,8960,256
96,0.173245,4900,8960,128
96,0.370636,19600,8960,64
97,0.0893775,49,8960,1280
97,0.101045,196,8960,640
97,0.131936,784,8960,320
97,0.143252,1225,8960,256
97,0.173251,4900,8960,128
97,0.370632,19600,8960,64
98,0.0898595,49,8960,1280
98,0.101615,196,8960,640
98,0.131775,784,8960,320
98,0.143211,1225,8960,256
98,0.173251,4900,8960,128
98,0.370692,19600,8960,64
99,0.0900843,49,8960,1280
99,0.101155,196,8960,640
99,0.131174,784,8960,320
99,0.143238,1225,8960,256
99,0.173257,4900,8960,128
99,0.370656,19600,8960,64
100,0.0907075,49,8960,1280
100,0.10203,196,8960,640
100,0.131188,784,8960,320
100,0.14325,1225,8960,256
100,0.17325,4900,8960,128
100,0.370683,19600,8960,64
101,0.0912217,49,8960,1280
101,0.100392,196,8960,640
101,0.13146,784,8960,320
101,0.143217,1225,8960,256
101,0.173244,4900,8960,128
101,0.370605,19600,8960,64
102,0.0905261,49,8960,1280
102,0.10036,196,8960,640
102,0.132834,784,8960,320
102,0.143259,1225,8960,256
102,0.173251,4900,8960,128
102,0.37067,19600,8960,64
103,0.0905173,49,8960,1280
103,0.100364,196,8960,640
103,0.132829,784,8960,320
103,0.143252,1225,8960,256
103,0.173241,4900,8960,128
103,0.370684,19600,8960,64
104,0.0907217,49,8960,1280
104,0.101639,196,8960,640
104,0.132106,784,8960,320
104,0.143221,1225,8960,256
104,0.173252,4900,8960,128
104,0.370666,19600,8960,64
105,0.0906881,49,8960,1280
105,0.101998,196,8960,640
105,0.131967,784,8960,320
105,0.143222,1225,8960,256
105,0.17324,4900,8960,128
105,0.370666,19600,8960,64
106,0.0906238,49,8960,1280
106,0.100358,196,8960,640
106,0.131265,784,8960,320
106,0.143251,1225,8960,256
106,0.17324,4900,8960,128
106,0.370626,19600,8960,64
107,0.089637,49,8960,1280
107,0.101362,196,8960,640
107,0.131198,784,8960,320
107,0.143276,1225,8960,256
107,0.173254,4900,8960,128
107,0.370648,19600,8960,64
108,0.0898314,49,8960,1280
108,0.101185,196,8960,640
108,0.131231,784,8960,320
108,0.143192,1225,8960,256
108,0.173228,4900,8960,128
108,0.370706,19600,8960,64
109,0.0900854,49,8960,1280
109,0.101864,196,8960,640
109,0.132618,784,8960,320
109,0.14325,1225,8960,256
109,0.173199,4900,8960,128
109,0.370655,19600,8960,64
110,0.0901026,49,8960,1280
110,0.101529,196,8960,640
110,0.132926,784,8960,320
110,0.14328,1225,8960,256
110,0.173138,4900,8960,128
110,0.370938,19600,8960,64
111,0.0901153,49,8960,1280
111,0.100743,196,8960,640
111,0.132083,784,8960,320
111,0.143278,1225,8960,256
111,0.173163,4900,8960,128
111,0.37069,19600,8960,64
112,0.0909539,49,8960,1280
112,0.100359,196,8960,640
112,0.133451,784,8960,320
112,0.143248,1225,8960,256
112,0.173127,4900,8960,128
112,0.370728,19600,8960,64
113,0.0906027,49,8960,1280
113,0.100361,196,8960,640
113,0.130977,784,8960,320
113,0.14324,1225,8960,256
113,0.173137,4900,8960,128
113,0.370699,19600,8960,64
114,0.0905977,49,8960,1280
114,0.101395,196,8960,640
114,0.131173,784,8960,320
114,0.143265,1225,8960,256
114,0.173169,4900,8960,128
114,0.370685,19600,8960,64
115,0.0905733,49,8960,1280
115,0.101141,196,8960,640
115,0.13125,784,8960,320
115,0.143294,1225,8960,256
115,0.173149,4900,8960,128
115,0.370677,19600,8960,64
116,0.0908656,49,8960,1280
116,0.100775,196,8960,640
116,0.132337,784,8960,320
116,0.143235,1225,8960,256
116,0.173143,4900,8960,128
116,0.370678,19600,8960,64
117,0.0905459,49,8960,1280
117,0.101478,196,8960,640
117,0.133139,784,8960,320
117,0.143277,1225,8960,256
117,0.173142,4900,8960,128
117,0.370667,19600,8960,64
118,0.0898943,49,8960,1280
118,0.101589,196,8960,640
118,0.131652,784,8960,320
118,0.143216,1225,8960,256
118,0.173128,4900,8960,128
118,0.370627,19600,8960,64
119,0.0901957,49,8960,1280
119,0.101606,196,8960,640
119,0.133857,784,8960,320
119,0.143263,1225,8960,256
119,0.173127,4900,8960,128
119,0.370643,19600,8960,64
120,0.0903376,49,8960,1280
120,0.101616,196,8960,640
120,0.131604,784,8960,320
120,0.143203,1225,8960,256
120,0.173107,4900,8960,128
120,0.370673,19600,8960,64
121,0.0895691,49,8960,1280
121,0.10089,196,8960,640
121,0.131117,784,8960,320
121,0.14324,1225,8960,256
121,0.173146,4900,8960,128
121,0.37068,19600,8960,64
122,0.0901384,49,8960,1280
122,0.100741,196,8960,640
122,0.131149,784,8960,320
122,0.143203,1225,8960,256
122,0.174114,4900,8960,128
122,0.370671,19600,8960,64
123,0.0912326,49,8960,1280
123,0.100369,196,8960,640
123,0.131131,784,8960,320
123,0.143206,1225,8960,256
123,0.173183,4900,8960,128
123,0.370676,19600,8960,64
124,0.0901536,49,8960,1280
124,0.100953,196,8960,640
124,0.133298,784,8960,320
124,0.143222,1225,8960,256
124,0.173137,4900,8960,128
124,0.370707,19600,8960,64
125,0.0907843,49,8960,1280
125,0.10086,196,8960,640
125,0.131914,784,8960,320
125,0.143258,1225,8960,256
125,0.173122,4900,8960,128
125,0.370707,19600,8960,64
126,0.0915561,49,8960,1280
126,0.101832,196,8960,640
126,0.132397,784,8960,320
126,0.143241,1225,8960,256
126,0.173131,4900,8960,128
126,0.370689,19600,8960,64
127,0.0903708,49,8960,1280
127,0.101223,196,8960,640
127,0.132592,784,8960,320
127,0.143308,1225,8960,256
127,0.173118,4900,8960,128
127,0.370649,19600,8960,64
128,0.0900983,49,8960,1280
128,0.101982,196,8960,640
128,0.132043,784,8960,320
128,0.143235,1225,8960,256
128,0.173738,4900,8960,128
128,0.37065,19600,8960,64
129,0.0901052,49,8960,1280
129,0.100725,196,8960,640
129,0.132162,784,8960,320
129,0.143219,1225,8960,256
129,0.174507,4900,8960,128
129,0.370641,19600,8960,64
130,0.0900868,49,8960,1280
130,0.101625,196,8960,640
130,0.131269,784,8960,320
130,0.143231,1225,8960,256
130,0.173806,4900,8960,128
130,0.370702,19600,8960,64
131,0.0901021,49,8960,1280
131,0.101207,196,8960,640
131,0.131657,784,8960,320
131,0.143222,1225,8960,256
131,0.173103,4900,8960,128
131,0.370698,19600,8960,64
132,0.0900922,49,8960,1280
132,0.100702,196,8960,640
132,0.13242,784,8960,320
132,0.143228,1225,8960,256
132,0.173118,4900,8960,128
132,0.370711,19600,8960,64
133,0.0901111,49,8960,1280
133,0.100365,196,8960,640
133,0.131973,784,8960,320
133,0.143209,1225,8960,256
133,0.173097,4900,8960,128
133,0.37064,19600,8960,64
134,0.0908827,49,8960,1280
134,0.100352,196,8960,640
134,0.132061,784,8960,320
134,0.143242,1225,8960,256
134,0.17311,4900,8960,128
134,0.37066,19600,8960,64
135,0.0905504,49,8960,1280
135,0.101262,196,8960,640
135,0.133725,784,8960,320
135,0.143271,1225,8960,256
135,0.173139,4900,8960,128
135,0.370704,19600,8960,64
136,0.0913086,49,8960,1280
136,0.101608,196,8960,640
136,0.131182,784,8960,320
136,0.143269,1225,8960,256
136,0.174278,4900,8960,128
136,0.370667,19600,8960,64
137,0.0911236,49,8960,1280
137,0.101612,196,8960,640
137,0.131201,784,8960,320
137,0.143238,1225,8960,256
137,0.173143,4900,8960,128
137,0.370655,19600,8960,64
138,0.0897635,49,8960,1280
138,0.101603,196,8960,640
138,0.131197,784,8960,320
138,0.143269,1225,8960,256
138,0.173146,4900,8960,128
138,0.370633,19600,8960,64
139,0.0900885,49,8960,1280
139,0.101616,196,8960,640
139,0.132413,784,8960,320
139,0.143199,1225,8960,256
139,0.173139,4900,8960,128
139,0.370644,19600,8960,64
140,0.0900867,49,8960,1280
140,0.101606,196,8960,640
140,0.132106,784,8960,320
140,0.143232,1225,8960,256
140,0.173133,4900,8960,128
140,0.370689,19600,8960,64
141,0.0901043,49,8960,1280
141,0.101613,196,8960,640
141,0.132376,784,8960,320
141,0.143199,1225,8960,256
141,0.173883,4900,8960,128
141,0.370702,19600,8960,64
142,0.090083,49,8960,1280
142,0.100362,196,8960,640
142,0.13278,784,8960,320
142,0.143227,1225,8960,256
142,0.174321,4900,8960,128
142,0.370694,19600,8960,64
143,0.0901219,49,8960,1280
143,0.100362,196,8960,640
143,0.132676,784,8960,320
143,0.143225,1225,8960,256
143,0.173324,4900,8960,128
143,0.370624,19600,8960,64
144,0.0900968,49,8960,1280
144,0.100618,196,8960,640
144,0.13124,784,8960,320
144,0.143172,1225,8960,256
144,0.173133,4900,8960,128
144,0.370684,19600,8960,64
145,0.0909877,49,8960,1280
145,0.101777,196,8960,640
145,0.131193,784,8960,320
145,0.143218,1225,8960,256
145,0.173151,4900,8960,128
145,0.370711,19600,8960,64
146,0.0909487,49,8960,1280
146,0.101905,196,8960,640
146,0.132355,784,8960,320
146,0.143168,1225,8960,256
